user_id,date,location
1,20080101,24
1,20080101,22
1,20080102,22
1,20080103,22
1,20080103,24
1,20080104,22
1,20080105,24
1,20080105,22
1,20080106,24
1,20080106,22
1,20080108,22
1,20080108,24
1,20080109,24
1,20080109,22
1,20080110,24
1,20080110,22
1,20080111,22
1,20080111,24
1,20080112,22
1,20080112,21
1,20080113,22
1,20080113,24
1,20080114,24
1,20080115,22
1,20080116,22
1,20080117,22
1,20080117,24
1,20080118,24
1,20080118,36
1,20080118,22
1,20080119,36
1,20080120,22
1,20080120,25
1,20080120,37
1,20080120,36
1,20080120,24
1,20080121,24
1,20080121,22
1,20080122,22
1,20080122,24
1,20080123,24
1,20080123,22
1,20080124,24
1,20080124,22
1,20080125,22
1,20080126,22
1,20080127,22
1,20080128,22
1,20080129,22
1,20080129,24
1,20080130,22
1,20080130,24
1,20080131,22
1,20080131,24
1,20080201,25
1,20080201,22
1,20080201,24
1,20080201,36
1,20080202,36
1,20080203,36
1,20080203,22
1,20080203,25
1,20080203,24
1,20080204,24
1,20080204,11
1,20080204,22
1,20080205,11
1,20080206,22
1,20080206,11
1,20080207,22
1,20080207,24
1,20080208,24
1,20080208,22
1,20080209,22
1,20080210,22
1,20080211,22
1,20080212,24
1,20080212,22
1,20080213,22
1,20080214,24
1,20080214,22
1,20080215,24
1,20080215,22
1,20080216,24
1,20080216,22
1,20080217,24
1,20080217,22
1,20080218,22
1,20080218,24
1,20080219,22
1,20080219,24
1,20080220,22
1,20080221,24
1,20080221,22
1,20080222,24
1,20080222,22
1,20080223,22
1,20080224,24
1,20080224,22
1,20080225,22
1,20080225,24
1,20080226,24
1,20080226,22
1,20080227,22
1,20080227,24
1,20080229,24
1,20080229,22
1,20080301,22
1,20080301,24
1,20080302,22
1,20080303,22
1,20080305,22
1,20080306,24
1,20080309,24
1,20080309,22
1,20080310,22
1,20080311,22
1,20080311,24
1,20080312,22
1,20080313,24
1,20080313,22
1,20080314,22
1,20080315,22
1,20080316,22
1,20080316,24
1,20080317,22
1,20080318,21
1,20080318,22
1,20080319,24
1,20080320,22
1,20080320,24
1,20080321,21
1,20080321,24
1,20080322,22
1,20080322,24
1,20080323,22
1,20080323,24
1,20080324,24
1,20080325,22
1,20080325,24
1,20080326,24
1,20080326,22
1,20080327,24
1,20080328,24
1,20080329,22
1,20080329,24
1,20080331,24
1,20080331,22
1,20080401,24
1,20080402,21
1,20080402,22
1,20080402,24
1,20080403,24
1,20080403,22
1,20080404,24
1,20080404,22
1,20080407,22
1,20080407,24
1,20080410,24
1,20080410,22
1,20080411,22
1,20080411,24
1,20080412,22
1,20080412,24
1,20080413,24
1,20080413,22
1,20080414,24
1,20080414,22
1,20080415,24
1,20080415,22
1,20080416,24
1,20080416,22
1,20080417,22
1,20080417,24
1,20080418,24
1,20080419,22
1,20080419,24
1,20080420,21
1,20080420,24
1,20080421,24
1,20080421,22
1,20080422,22
1,20080422,24
1,20080423,24
1,20080424,24
1,20080425,24
1,20080426,22
1,20080426,24
1,20080427,11
1,20080427,24
1,20080428,11
1,20080429,24
1,20080430,22
1,20080430,24
1,20080501,22
1,20080501,24
1,20080502,24
1,20080502,22
1,20080503,22
1,20080503,24
1,20080504,24
1,20080504,22
1,20080505,11
1,20080505,22
1,20080506,22
1,20080506,24
1,20080507,24
1,20080507,22
1,20080509,24
1,20080509,22
1,20080510,24
1,20080511,24
1,20080511,22
1,20080512,24
1,20080512,22
1,20080513,24
1,20080514,22
1,20080514,24
1,20080515,24
1,20080515,22
1,20080516,22
1,20080516,24
1,20080517,22
1,20080517,36
1,20080517,24
1,20080518,36
1,20080519,24
1,20080520,22
1,20080520,24
1,20080521,22
1,20080521,24
1,20080522,24
1,20080522,22
1,20080523,22
1,20080523,24
1,20080524,24
1,20080524,22
1,20080525,22
1,20080525,24
1,20080526,22
1,20080526,24
1,20080528,24
1,20080528,22
1,20080529,22
1,20080529,24
1,20080530,22
1,20080530,24
1,20080531,24
1,20080601,22
1,20080601,24
1,20080601,26
1,20080606,22
1,20080606,24
1,20080607,24
1,20080607,22
1,20080607,21
1,20080608,24
1,20080608,21
1,20080609,24
1,20080610,24
1,20080611,24
1,20080611,22
1,20080612,22
1,20080613,24
1,20080614,24
1,20080615,24
1,20080617,24
1,20080618,24
1,20080620,24
1,20080620,22
1,20080621,24
1,20080623,24
1,20080623,22
1,20080624,24
1,20080625,22
1,20080625,24
1,20080626,24
1,20080627,24
1,20080628,24
1,20080628,22
1,20080630,24
1,20080701,24
1,20080701,22
